wikibase_id,filename,label,description,alias,label_de,description_de,alias_de,wikidata_id,fernsehserien_de_id,language
,markus_lanz,Markus Lanz,,,,,,Q1499182,markus-lanz,de
,hart_aber_fair,Hart aber fair,,,,,,Q1587023,hart-aber-fair,de
,maischberger,Maischberger,,,,,,Q1330010,maischberger-ard,de
,maybrit_illner,Maybrit Illner,,,,,,Q1914407,maybrit-illner,de
,caren_miosga,Caren Miosga,,,,,,Q122961070,caren-miosga,de
,scobel,scobel,,,,,,Q2260420,scobel,de
,phoenix_runde,Phoenix Runde,,,,,,Q996534,phoenix-runde,de
,unbouble,Unbouble,,,,,,,NONE,de
,startalk,StarTalk,,,,,,Q18003196,startalk,en
,couchwissen,couchwissen,,,,,,,couchwissen,de
,wtf_talk,WTF talk,,,,,,,NONE,de
,lanz_und_precht,Lanz und Precht,,,,,,Q121339233,NONE,de
,precht,Precht,,,,,,Q15840908,precht,de
,der_internationale_frueshoppen,Der Internationale Frühschoppen,,,,,,Q1194569,internationaler-fruehschoppen,de
,presseclub,Presseclub,,,,,,Q2108918,presseclub,de
