subject_class_qid,subject_class_label,property_qid,property_label,object_class_qid,object_class_label,decision_last_updated_at,can_inherit
Q11578774,broadcasting program,P138,named after,Q215627,person,,
Q11578774,broadcasting program,P371,presenter,Q215627,person,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P725,voice actor,Q215627,person,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P162,producer,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P17,country,Q43229,organization,,
Q11578774,broadcasting program,P272,production company,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P3301,broadcast by,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P449,original broadcaster,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P495,country of origin,Q43229,organization,,
Q11578774,broadcasting program,P88,commissioned by,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q11578774,broadcasting program,P179,part of the series,Q7725310,series of creative works,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P155,follows,Q1983062,episode,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P156,followed by,Q1983062,episode,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P138,named after,Q215627,person,,
Q1983062,episode,P371,presenter,Q215627,person,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P5030,talk show guest,Q215627,person,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P710,participant,Q215627,person,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P921,main subject,Q215627,person,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P921,main subject,Q26256810,topic,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P1343,described by source,Q43229,organization,,
Q1983062,episode,P138,named after,Q43229,organization,,
Q1983062,episode,P272,production company,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P291,place of publication,Q43229,organization,,
Q1983062,episode,P364,original language of film or TV show,Q43229,organization,,
Q1983062,episode,P371,presenter,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P449,original broadcaster,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P495,country of origin,Q43229,organization,,
Q1983062,episode,P915,filming location,Q43229,organization,,
Q1983062,episode,P921,main subject,Q43229,organization,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P179,part of the series,Q7725310,series of creative works,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P4908,season,Q7725310,series of creative works,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P527,has part(s),Q7725310,series of creative works,2026-04-13T10:18:00Z,TRUE
Q1983062,episode,P921,main subject,Q7725310,series of creative works,2026-04-13T10:18:00Z,TRUE
Q215627,person,P1038,relative,Q215627,person,,
Q215627,person,P108,employer,Q215627,person,2026-04-13T10:18:00Z,
Q215627,person,P1365,replaces,Q215627,person,,
Q215627,person,P184,doctoral advisor,Q215627,person,,
Q215627,person,P185,doctoral student,Q215627,person,,
Q215627,person,P22,father,Q215627,person,,
Q215627,person,P26,spouse,Q215627,person,,
Q215627,person,P40,child,Q215627,person,,
Q215627,person,P451,unmarried partner,Q215627,person,,
Q215627,person,P7604,supervised by,Q215627,person,,
Q215627,person,P106,occupation,Q214339,role,2026-04-26T00:00:00Z,TRUE
Q215627,person,P101,field of work,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P102,member of political party,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P1037,director / manager,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P108,employer,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P112,founder,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P1343,described by source,Q43229,organization,,
Q215627,person,P1344,participant in,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P1416,affiliation,Q43229,organization,2026-04-13T10:18:00Z,
Q215627,person,P1532,country for sport,Q43229,organization,,
Q215627,person,P169,chief executive officer,Q43229,organization,2026-04-13T10:18:00Z,
